Number,Reference ID,Tube Diameter (m),Heated Length (m),Pressure (kPa),Mass Flux (kg/m^2/s),Outlet Quality,Inlet Subcooling (kJ/kg),Inlet Temperature (degreeC ),CHF (kW/m^2),Reference name
3387,13,0.01,1.0,9800.0,570.0,0.421,923.0,111.88,2095.0,Alekseev 1954
3388,13,0.01,1.0,9800.0,676.0,0.378,898.0,117.82,2351.0,Alekseev 1954
3389,13,0.01,1.0,9800.0,849.0,0.291,884.0,121.14,2678.0,Alekseev 1954
3390,13,0.01,1.0,9800.0,941.0,0.247,866.0,125.4,2787.0,Alekseev 1954
3391,13,0.01,1.0,9800.0,970.0,0.238,921.0,112.36,2976.0,Alekseev 1954
3392,13,0.01,1.0,9800.0,1001.0,0.227,874.0,123.51,2926.0,Alekseev 1954
3393,13,0.01,1.0,9800.0,1030.0,0.226,932.0,109.74,3151.0,Alekseev 1954
3394,13,0.01,1.0,9800.0,1164.0,0.198,866.0,125.4,3257.0,Alekseev 1954
3395,13,0.01,1.0,9800.0,1185.0,0.182,922.0,112.12,3419.0,Alekseev 1954
3396,13,0.01,1.0,9800.0,1221.0,0.186,912.0,114.5,3507.0,Alekseev 1954
3397,13,0.01,1.0,9800.0,1313.0,0.147,868.0,124.92,3462.0,Alekseev 1954
3398,13,0.01,1.0,9800.0,1352.0,0.131,910.0,114.97,3630.0,Alekseev 1954
3399,13,0.01,1.0,9800.0,1514.0,0.093,905.0,116.16,3861.0,Alekseev 1954
3400,13,0.01,1.0,9800.0,1635.0,0.072,837.0,132.25,3776.0,Alekseev 1954
3401,13,0.01,1.0,9800.0,1645.0,0.073,887.0,120.43,4017.0,Alekseev 1954
3402,13,0.01,1.0,9800.0,1861.0,0.012,831.0,133.66,3915.0,Alekseev 1954
3403,13,0.01,1.0,9800.0,1946.0,-0.002,865.0,125.63,4170.0,Alekseev 1954
3404,13,0.01,1.0,9800.0,1995.0,-0.014,839.0,131.78,4067.0,Alekseev 1954
3405,13,0.01,1.0,9800.0,2176.0,-0.022,822.0,135.78,4281.0,Alekseev 1954
3406,13,0.01,1.0,9800.0,2331.0,-0.04,822.0,135.78,4447.0,Alekseev 1954
3407,13,0.01,1.0,9800.0,2536.0,-0.058,825.0,135.08,4711.0,Alekseev 1954
3408,13,0.01,1.0,9800.0,2791.0,-0.07,808.0,139.08,4949.0,Alekseev 1954
3409,13,0.01,2.0,9800.0,474.0,0.71,958.0,103.56,1121.0,Alekseev 1954
3410,13,0.01,2.0,9800.0,517.0,0.656,974.0,99.74,1181.0,Alekseev 1954
3411,13,0.01,2.0,9800.0,531.0,0.651,991.0,95.69,1219.0,Alekseev 1954
3412,13,0.01,2.0,9800.0,581.0,0.604,992.0,95.45,1290.0,Alekseev 1954
3413,13,0.01,2.0,9800.0,619.0,0.583,990.0,95.93,1354.0,Alekseev 1954
3414,13,0.01,2.0,9800.0,662.0,0.568,974.0,99.74,1420.0,Alekseev 1954
3415,13,0.01,2.0,9800.0,722.0,0.525,986.0,96.88,1503.0,Alekseev 1954
3416,13,0.01,2.0,9800.0,782.0,0.493,961.0,102.84,1567.0,Alekseev 1954
3417,13,0.01,2.0,9800.0,842.0,0.469,954.0,104.51,1650.0,Alekseev 1954
3418,13,0.01,2.0,9800.0,871.0,0.455,949.0,105.7,1677.0,Alekseev 1954
3419,13,0.01,2.0,9800.0,888.0,0.436,914.0,114.02,1646.0,Alekseev 1954
3420,13,0.01,2.0,9800.0,973.0,0.422,916.0,113.55,1782.0,Alekseev 1954
3421,13,0.01,2.0,9800.0,1150.0,0.358,884.0,121.14,1938.0,Alekseev 1954
3422,13,0.01,2.0,9800.0,1228.0,0.339,843.0,130.83,1971.0,Alekseev 1954
3423,13,0.01,2.0,9800.0,1422.0,0.276,807.0,139.31,2072.0,Alekseev 1954
3424,13,0.01,2.0,9800.0,1617.0,0.201,796.0,141.89,2132.0,Alekseev 1954
3425,13,0.01,2.0,9800.0,1719.0,0.202,799.0,141.19,2277.0,Alekseev 1954
3426,13,0.01,2.0,9800.0,1787.0,0.176,799.0,141.19,2286.0,Alekseev 1954
3427,13,0.01,2.0,9800.0,1956.0,0.145,790.0,143.3,2382.0,Alekseev 1954
3428,13,0.01,2.0,9800.0,2031.0,0.144,774.0,147.05,2434.0,Alekseev 1954
3429,13,0.01,2.0,9800.0,2232.0,0.115,747.0,153.36,2491.0,Alekseev 1954
3430,13,0.01,2.0,9800.0,2473.0,0.089,729.0,157.56,2601.0,Alekseev 1954
3431,13,0.01,2.0,9800.0,2745.0,0.063,714.0,161.04,2719.0,Alekseev 1954
3432,13,0.01,2.0,9800.0,506.0,0.719,659.0,173.76,1015.0,Alekseev 1954
3433,13,0.01,2.0,9800.0,598.0,0.641,648.0,176.29,1117.0,Alekseev 1954
3434,13,0.01,2.0,9800.0,701.0,0.601,595.0,188.4,1208.0,Alekseev 1954
3435,13,0.01,2.0,9800.0,846.0,0.502,568.0,194.52,1330.0,Alekseev 1954
3436,13,0.01,2.0,9800.0,871.0,0.517,545.0,199.7,1329.0,Alekseev 1954
3437,13,0.01,2.0,9800.0,871.0,0.504,559.0,196.55,1328.0,Alekseev 1954
3438,13,0.01,2.0,9800.0,963.0,0.501,550.0,198.58,1453.0,Alekseev 1954
3439,13,0.01,2.0,9800.0,1069.0,0.453,544.0,199.93,1520.0,Alekseev 1954
3440,13,0.01,2.0,9800.0,1115.0,0.441,557.0,197.0,1582.0,Alekseev 1954
3441,13,0.01,2.0,9800.0,1178.0,0.423,567.0,194.74,1650.0,Alekseev 1954
3442,13,0.01,2.0,9800.0,1334.0,0.359,559.0,196.55,1717.0,Alekseev 1954
3443,13,0.01,2.0,9800.0,1497.0,0.312,552.0,198.13,1795.0,Alekseev 1954
3444,13,0.01,2.0,9800.0,1638.0,0.29,538.0,201.27,1878.0,Alekseev 1954
3445,13,0.01,2.0,9800.0,2016.0,0.204,513.0,206.87,1966.0,Alekseev 1954
